tree_depth,min_n,cost_complexity,mean,std_err
14,11,0.20374234674572744,0.5,0
2,13,0.20628070468263435,0.5,0
17,3,0.2073979537910269,0.5,0
1,14,0.2154697948208753,0.5,0
2,11,0.2313977039586995,0.5,0
2,18,0.2412432419271938,0.5,0
15,17,0.255112961525736,0.5,0
16,9,0.26642190404572763,0.5,0
6,8,0.27136610586404836,0.5,0
20,5,0.2924374248011123,0.5,0
8,5,0.2964079309233145,0.5,0
1,13,0.29645729011231065,0.5,0
19,8,0.3002853436678972,0.5,0
3,19,0.30415879065938084,0.5,0
7,4,0.3087607028609884,0.5,0
4,18,0.3177510280843252,0.5,0
1,20,0.32248332864727025,0.5,0
1,19,0.32343095719156634,0.5,0
16,6,0.34845160220770954,0.5,0
8,20,0.3624229934475684,0.5,0
12,19,0.42097571631269165,0.5,0
8,20,0.44712024693113384,0.5,0
4,15,0.45691376435997944,0.5,0
16,15,0.4578258901342644,0.5,0
2,6,5.137567051392255e-4,0.4545907006844507,0.04540929931554931
16,2,1.7512328797875885e-4,0.3626065797940798,0.0076881213166350845
19,3,0.00036076829096386034,0.350495330964081,0.0069978474154010605
11,10,0.03112387762638962,0.3487899628524629,0.06176510700118693
16,3,2.092238525287062e-4,0.34106219653094655,0.00602153270469312
14,4,1.6062343605791142e-4,0.3081499722124722,0.0068440285192092965
20,7,1.5482403932560508e-4,0.28798381376506377,0.008698457153816124
18,7,1.8319277459709086e-4,0.2833331505206505,0.007756939619328548
16,6,3.645701270715583e-4,0.28077925734175735,0.005617557533400647
17,8,1.721412777525418e-4,0.2646460380835381,0.003399787410191772
17,8,1.5604514557225304e-4,0.2645956731894232,0.0036928263611920396
3,14,0.004707373612642936,0.262514167982918,0.003134495790621226
3,4,0.006826414352635961,0.262514167982918,0.003134495790621226
3,3,0.009941314714707281,0.262514167982918,0.003134495790621226
18,3,4.344942292432999e-4,0.26134306993681994,0.005750717724577373
20,7,4.403749031658716e-4,0.2556594236281736,0.005436442712718893
11,3,1.413064740183367e-4,0.25366649116649115,0.0057271779459173895
4,7,0.0038120465955956326,0.25267957689832693,0.004364212900127093
4,12,0.003951785328287154,0.25267957689832693,0.004364212900127093
4,10,0.004501608837732015,0.25267957689832693,0.004364212900127093
4,9,0.004818495331256731,0.25267957689832693,0.004364212900127093
4,13,0.007650954480395154,0.25267957689832693,0.004364212900127093
12,5,1.5637917051078168e-4,0.2522957616707617,0.005089654185707453
3,3,1.6530558873408007e-4,0.2512268559143559,0.005384688510408974
3,8,2.9312042292015876e-4,0.2512268559143559,0.005384688510408974
3,20,4.41738903195788e-4,0.2512268559143559,0.005384688510408974
14,4,0.018665285126881096,0.24999643515268516,0.0032653989186294426
7,7,0.019914414703957477,0.24999643515268516,0.0032653989186294426
17,8,0.019971542629862084,0.24999643515268516,0.0032653989186294426
